method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,ambiguous,polite,2,7,0.5254542231559753
methodA,ambiguous,polite,2,8,0.5315175652503967
methodA,ambiguous,polite,2,9,0.5486363172531128
methodA,ambiguous,polite,2,10,0.556293785572052
methodA,ambiguous,polite,2,11,0.5157155394554138
methodA,ambiguous,polite,2,12,0.4784708321094513
methodA,ambiguous,polite,2,13,0.44142967462539673
methodA,ambiguous,polite,2,14,0.43842071294784546
methodA,ambiguous,polite,2,15,0.455027312040329
methodA,ambiguous,polite,2,16,0.4359028935432434
methodA,ambiguous,polite,2,17,0.44031989574432373
methodA,ambiguous,polite,2,18,0.4585644602775574
methodA,ambiguous,polite,2,19,0.4452204704284668
methodA,polite,polite,21,0,0.07156472653150558
methodA,polite,polite,21,1,0.03871934860944748
methodA,polite,polite,21,2,0.12160895019769669
methodA,polite,polite,21,3,0.17227604985237122
methodA,polite,polite,21,4,0.2867846190929413
methodA,polite,polite,21,5,0.4365479350090027
methodA,polite,polite,21,6,0.4638287425041199
methodA,polite,polite,21,7,0.5173993706703186
methodA,polite,polite,21,8,0.4683949053287506
methodA,polite,polite,21,9,0.44848933815956116
methodA,polite,polite,21,10,0.4522137939929962
methodA,polite,polite,21,11,0.36988967657089233
methodA,polite,polite,21,12,0.3786155879497528
methodA,polite,polite,21,13,0.3583092987537384
methodA,polite,polite,21,14,0.3853074610233307
methodA,polite,polite,21,15,0.35426315665245056
methodA,polite,polite,21,16,0.34174755215644836
methodA,polite,polite,21,17,0.3678283393383026
methodA,polite,polite,21,18,0.2975512742996216
methodA,polite,polite,21,19,0.30172377824783325
methodA,truesmile,polite,21,0,0.1265106499195099
